Title,Author,Rating,Genres
"Holes (Holes, #1)",Louis Sachar,real,"['Young Adult', 'Fiction', 'Middle Grade', 'Childrens', 'Classics', 'School', 'Realistic Fiction']"
"The Godfather (The Godfather, #1)",Mario Puzo,4.39,"['Fiction', 'Classics', 'Crime', 'Thriller', 'Historical Fiction', 'Mystery', 'Novels']"
Where the Red Fern Grows,Wilson Rawls,4.12,"['Classics', 'Fiction', 'Young Adult', 'Childrens', 'Middle Grade', 'Historical Fiction', 'Animals']"
Perfume: The Story of a Murderer,Patrick Süskind,4.04,"['Fiction', 'Classics', 'Historical Fiction', 'Horror', 'Thriller', 'Mystery', 'Crime']"
In Cold Blood,Truman Capote,4.09,"['Nonfiction', 'Classics', 'True Crime', 'Crime', 'Mystery', 'History', 'Thriller']"
The Scarlet Letter,Nathaniel Hawthorne,3.43,"['Fiction', 'Classics', 'Historical Fiction', 'School', 'Literature', 'High School', 'Historical']"
Fight Club,Chuck Palahniuk,4.18,"['Fiction', 'Classics', 'Thriller', 'Novels', 'Mystery', 'Literature', 'Adult']"
American Gods,Neil Gaiman,4.11,"['Fantasy', 'Fiction', 'Mythology', 'Urban Fantasy', 'Audiobook', 'Science Fiction', 'Science Fiction Fantasy']"
"Six of Crows (Six of Crows, #1)",Leigh Bardugo,4.48,"['Fantasy', 'Young Adult', 'Fiction', 'Young Adult Fantasy', 'LGBT', 'Adventure', 'Magic']"
The Five People You Meet in Heaven,Mitch Albom,real,"['Fiction', 'Contemporary', 'Inspirational', 'Fantasy', 'Classics', 'Spirituality', 'Adult']"
The Divine Comedy,Dante Alighieri,4.08,"['Poetry', 'Fiction', 'Literature', 'Philosophy', 'Fantasy', 'Italian Literature', 'Italy']"
Watchmen,Alan             Moore,4.38,"['Graphic Novels', 'Fiction', 'Science Fiction', 'Fantasy', 'Graphic Novels Comics', 'Classics', 'Comic Book']"
"The Cat in the Hat (The Cat in the Hat, #1)",Dr. Seuss,4.19,"['Childrens', 'Picture Books', 'Fiction', 'Poetry', 'Classics', 'Fantasy', 'Humor']"
All Quiet on the Western Front,Erich Maria Remarque,4.09,"['Fiction', 'Historical Fiction', 'War', 'Classics', 'Historical', 'Literature', 'School']"
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,4.26,"['Fantasy', 'Fiction', 'Humor', 'Audiobook', 'Comedy', 'Urban Fantasy', 'Science Fiction Fantasy']"
"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,3.92,"['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Angels', 'Paranormal Romance', 'Fiction']"
"The Little House Collection (Little House, #1-9)",Laura Ingalls Wilder,4.36,"['Classics', 'Historical Fiction', 'Childrens', 'Fiction', 'Young Adult', 'Historical', 'Middle Grade']"
